GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tictactoe,com.java.laiy,Main,3,2,0,0,1,2,1,1,1,1
tictactoe,com.java.laiy.model.exceptions,InvalidPointException,3,0,0,0,1,0,1,0,1,0
tictactoe,com.java.laiy.model.exceptions,InvalidBoardSizeException,3,0,0,0,1,0,1,0,1,0
tictactoe,com.java.laiy.model.exceptions,PointOccupiedException,3,0,0,0,1,0,1,0,1,0
tictactoe,com.java.laiy.model.exceptions,AbstractTicTacException,3,0,0,0,1,0,1,0,1,0
tictactoe,com.java.laiy.controller,Game,51,14,3,1,15,5,3,2,1,2
tictactoe,com.java.laiy.controller,GameStarter,6,62,0,0,3,16,1,2,1,2
tictactoe,com.java.laiy.controller,GameController,193,237,38,36,49,48,34,21,7,11
tictactoe,com.java.laiy.view,ConsoleView,179,58,14,3,51,12,16,7,8,6
tictactoe,com.java.laiy.view,ConsoleMenuView,56,228,12,23,20,73,12,19,2,10
tictactoe,com.java.laiy.model,Board,37,55,8,6,9,10,9,6,2,6
tictactoe,com.java.laiy.model,Player,8,22,2,2,0,9,2,4,0,4
tictactoe,com.java.laiy.model,Point,15,0,0,0,6,0,3,0,3,0
tictactoe,com.java.laiy.model,Figure,0,28,0,0,0,6,0,3,0,3
